Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12003A_001,SE_A12003A_002,SE_A12003A_003,SE_A12003B_001,SE_A12003B_002,SE_A12003B_003,SE_A17005A_001,SE_A17005A_002,SE_A17005A_003,SE_A17005B_001,SE_A17005B_002,SE_A17005B_003,SE_A17006A_001,SE_A17006A_002,SE_A17006A_003,SE_A17006B_001,SE_A17006B_002,SE_A17006B_003,SE_A17006C_001,SE_A17006C_002,SE_A17006C_003,SE_A17006D_001,SE_A17006D_002,SE_A17006D_003,SE_A17006H_001,SE_A17006H_002,SE_A17006H_003
"36001","05000US36001","Albany County, New York","Albany County, New York","ny","050","00","ACSSF","0000013",,,,,"36","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,320,9679,10111,181,9930,84727,79997,4730,83101,78964,4137,133324,127730,5594,18941,16805,2136,263,231,32,9579,8972,607,8364,7723,641
"36003","05000US36003","Allegany County, New York","Allegany County, New York","ny","050","00","ACSSF","0000014",,,,,"36","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222,98,2124,1967,108,1859,11583,10474,1109,10145,9658,487,20740,19253,1487,340,312,28,80,80,0,289,255,34,284,263,21
"36005","05000US36005","Bronx County, New York","Bronx County, New York","ny","050","00","ACSSF","0000015",,,,,"36","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41703,3146,38557,39246,2027,37219,333355,293685,39670,338410,300173,38237,137146,124220,12926,233236,202758,30478,4499,3892,607,25883,23705,2178,366676,323758,42918
"36007","05000US36007","Broome County, New York","Broome County, New York","ny","050","00","ACSSF","0000016",,,,,"36","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6709,161,6548,6679,130,6549,49263,45159,4104,44859,42206,2653,83287,78059,5228,4936,4113,823,203,156,47,3418,3142,276,2876,2558,318
"36009","05000US36009","Cattaraugus County, New York","Cattaraugus County, New York","ny","050","00","ACSSF","0000017",,,,,"36","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2218,159,2059,2096,141,1955,18892,17442,1450,17362,16290,1072,34141,31913,2228,382,290,92,874,738,136,323,299,24,483,459,24
"36011","05000US36011","Cayuga County, New York","Cayuga County, New York","ny","050","00","ACSSF","0000018",,,,,"36","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128,211,1917,1933,86,1847,20704,19373,1331,18832,17823,1009,37514,35420,2094,855,760,95,118,90,28,191,185,6,814,760,54
"36013","05000US36013","Chautauqua County, New York","Chautauqua County, New York","ny","050","00","ACSSF","0000019",,,,,"36","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3997,280,3717,3724,153,3571,32038,29196,2842,29073,27220,1853,58097,53872,4225,1104,959,145,191,160,31,309,299,10,3465,2787,678
"36015","05000US36015","Chemung County, New York","Chemung County, New York","ny","050","00","ACSSF","0000020",,,,,"36","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129,160,1969,2256,75,2181,20244,19020,1224,19613,18706,907,36498,34735,1763,1513,1311,202,101,101,0,680,658,22,702,659,43
"36017","05000US36017","Chenango County, New York","Chenango County, New York","ny","050","00","ACSSF","0000021",,,,,"36","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167,61,1106,1218,78,1140,12170,11278,892,11050,10387,663,22421,20928,1493,185,184,1,97,70,27,129,129,0,505,476,29
"36019","05000US36019","Clinton County, New York","Clinton County, New York","ny","050","00","ACSSF","0000022",,,,,"36","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2477,56,2421,2863,34,2829,19659,18626,1033,18645,17465,1180,36290,34396,1894,731,598,133,44,42,2,504,473,31,619,514,105
"36021","05000US36021","Columbia County, New York","Columbia County, New York","ny","050","00","ACSSF","0000023",,,,,"36","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488,161,1327,1157,46,1111,16697,15851,846,15047,14313,734,28914,27523,1391,1310,1215,95,12,12,0,541,529,12,1186,1143,43
"36023","05000US36023","Cortland County, New York","Cortland County, New York","ny","050","00","ACSSF","0000024",,,,,"36","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904,40,1864,2134,33,2101,12975,12141,834,12536,12110,426,24401,23171,1230,468,463,5,56,56,0,118,111,7,828,743,85
"36025","05000US36025","Delaware County, New York","Delaware County, New York","ny","050","00","ACSSF","0000025",,,,,"36","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,15,1746,1517,43,1474,11538,10680,858,9896,9239,657,20618,19184,1434,270,230,40,37,36,1,133,128,5,581,548,33
"36027","05000US36027","Dutchess County, New York","Dutchess County, New York","ny","050","00","ACSSF","0000026",,,,,"36","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9394,362,9032,9185,225,8960,81330,75448,5882,73931,69486,4445,124929,117645,7284,15371,13420,1951,500,492,8,5778,5398,380,16686,15326,1360
"36029","05000US36029","Erie County, New York","Erie County, New York","ny","050","00","ACSSF","0000027",,,,,"36","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24374,1000,23374,24180,764,23416,240557,225936,14621,233873,222456,11417,390981,373936,17045,53376,46544,6832,1815,1563,252,13555,13142,413,18735,17289,1446
"36031","05000US36031","Essex County, New York","Essex County, New York","ny","050","00","ACSSF","0000028",,,,,"36","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006,53,953,764,45,719,9598,8754,844,9198,8790,408,18269,17181,1088,45,39,6,16,16,0,70,66,4,301,172,129
"36033","05000US36033","Franklin County, New York","Franklin County, New York","ny","050","00","ACSSF","0000029",,,,,"36","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367,145,1222,1087,45,1042,11542,10607,935,10202,9353,849,19617,18417,1200,220,144,76,1194,747,447,131,131,0,407,365,42
"36035","05000US36035","Fulton County, New York","Fulton County, New York","ny","050","00","ACSSF","0000030",,,,,"36","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282,166,1116,1099,187,912,13945,12756,1189,12296,11483,813,25147,23261,1886,362,319,43,53,53,0,207,200,7,613,545,68
"36037","05000US36037","Genesee County, New York","Genesee County, New York","ny","050","00","ACSSF","0000031",,,,,"36","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502,48,1454,1497,68,1429,16172,15349,823,14808,14037,771,28860,27407,1453,854,795,59,328,292,36,182,182,0,849,734,115
"36039","05000US36039","Greene County, New York","Greene County, New York","ny","050","00","ACSSF","0000032",,,,,"36","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211,385,826,1115,73,1042,11278,10489,789,10064,9520,544,19889,18782,1107,726,714,12,75,11,64,190,190,0,928,809,119
"36041","05000US36041","Hamilton County, New York","Hamilton County, New York","ny","050","00","ACSSF","0000033",,,,,"36","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0,112,96,0,96,1204,1098,106,1039,893,146,2152,1902,250,0,0,0,0,0,0,0,0,0,13,13,0
"36043","05000US36043","Herkimer County, New York","Herkimer County, New York","ny","050","00","ACSSF","0000034",,,,,"36","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784,182,1602,1497,75,1422,16293,14906,1387,14916,13744,1172,30258,27806,2452,284,228,56,71,66,5,174,168,6,554,505,49
"36045","05000US36045","Jefferson County, New York","Jefferson County, New York","ny","050","00","ACSSF","0000035",,,,,"36","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3260,141,3119,2558,109,2449,24978,22890,2088,23792,21993,1799,44067,40751,3316,2253,1932,321,336,319,17,746,714,32,2195,2022,173
"36047","05000US36047","Kings County, New York","Kings County, New York","ny","050","00","ACSSF","0000036",,,,,"36","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59554,2518,57036,57743,1875,55868,664280,607864,56416,660672,610112,50560,587574,552184,35390,429699,381506,48193,4257,3790,467,161881,151156,10725,239103,215637,23466
"36049","05000US36049","Lewis County, New York","Lewis County, New York","ny","050","00","ACSSF","0000037",,,,,"36","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,37,610,620,54,566,7030,6391,639,5776,5447,329,12463,11527,936,58,51,7,9,9,0,48,35,13,247,214,33
"36051","05000US36051","Livingston County, New York","Livingston County, New York","ny","050","00","ACSSF","0000038",,,,,"36","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415,102,2313,2579,90,2489,15751,14915,836,15124,14475,649,29522,28165,1357,319,295,24,32,23,9,341,331,10,874,777,97
"36053","05000US36053","Madison County, New York","Madison County, New York","ny","050","00","ACSSF","0000039",,,,,"36","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582,84,2498,2884,39,2845,18343,17535,808,16839,16105,734,33739,32222,1517,572,572,0,221,218,3,204,193,11,670,657,13
"36055","05000US36055","Monroe County, New York","Monroe County, New York","ny","050","00","ACSSF","0000040",,,,,"36","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22191,715,21476,20521,592,19929,198840,184788,14052,194935,183071,11864,311913,296420,15493,51066,43463,7603,1580,1369,211,13930,13192,738,27897,24601,3296
"36057","05000US36057","Montgomery County, New York","Montgomery County, New York","ny","050","00","ACSSF","0000041",,,,,"36","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099,66,1033,1162,84,1078,12340,11411,929,11356,10545,811,21156,19694,1462,312,289,23,4,4,0,143,126,17,2824,2439,385
"36059","05000US36059","Nassau County, New York","Nassau County, New York","ny","050","00","ACSSF","0000042",,,,,"36","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37276,853,36423,35542,411,35131,377064,358255,18809,340416,323808,16608,493566,471174,22392,85512,79161,6351,1572,1493,79,64712,62265,2447,120348,113950,6398
"36061","05000US36061","New York County, New York","New York County, New York","ny","050","00","ACSSF","0000043",,,,,"36","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27324,1104,26220,31992,898,31094,488942,457598,31344,477218,448791,28427,598486,572897,25589,115602,100648,14954,2583,2333,250,116548,111220,5328,212142,190037,22105
"36063","05000US36063","Niagara County, New York","Niagara County, New York","ny","050","00","ACSSF","0000044",,,,,"36","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5863,164,5699,4960,48,4912,55227,51200,4027,52454,49790,2664,97151,91674,5477,6408,5663,745,891,775,116,1054,934,120,2320,2037,283
"36065","05000US36065","Oneida County, New York","Oneida County, New York","ny","050","00","ACSSF","0000045",,,,,"36","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6381,289,6092,5989,272,5717,56381,52594,3787,53070,50295,2775,96916,91955,4961,5427,4613,814,213,201,12,3775,3446,329,4240,3547,693
"36067","05000US36067","Onondaga County, New York","Onondaga County, New York","ny","050","00","ACSSF","0000046",,,,,"36","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13888,514,13374,14918,309,14609,121259,113231,8028,117201,109976,7225,199441,189293,10148,22627,19129,3498,1153,1000,153,7374,6830,544,9538,8356,1182
"36069","05000US36069","Ontario County, New York","Ontario County, New York","ny","050","00","ACSSF","0000047",,,,,"36","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2999,125,2874,3015,63,2952,29562,28074,1488,27540,26324,1216,53607,51326,2281,1206,1064,142,223,220,3,709,709,0,2151,1790,361
"36071","05000US36071","Orange County, New York","Orange County, New York","ny","050","00","ACSSF","0000048",,,,,"36","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12198,535,11663,10771,346,10425,97996,92365,5631,87150,82405,4745,138187,130938,7249,19709,18320,1389,659,609,50,5424,5158,266,36077,33677,2400
"36073","05000US36073","Orleans County, New York","Orleans County, New York","ny","050","00","ACSSF","0000049",,,,,"36","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105,91,1014,916,135,781,10210,9529,681,9014,8447,567,17654,16511,1143,777,742,35,61,61,0,194,194,0,747,628,119
"36075","05000US36075","Oswego County, New York","Oswego County, New York","ny","050","00","ACSSF","0000050",,,,,"36","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890,182,3708,3903,113,3790,30943,27994,2949,27289,25217,2072,56179,51445,4734,554,454,100,53,48,5,447,413,34,1102,925,177
"36077","05000US36077","Otsego County, New York","Otsego County, New York","ny","050","00","ACSSF","0000051",,,,,"36","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2374,121,2253,2904,79,2825,15431,14162,1269,15163,14383,780,28934,27033,1901,493,452,41,49,41,8,455,429,26,1032,957,75
"36079","05000US36079","Putnam County, New York","Putnam County, New York","ny","050","00","ACSSF","0000052",,,,,"36","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762,52,2710,2632,22,2610,28762,27006,1756,25939,24769,1170,49118,46512,2606,1079,943,136,216,181,35,1259,1259,0,7326,6875,451
"36081","05000US36081","Queens County, New York","Queens County, New York","ny","050","00","ACSSF","0000053",,,,,"36","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50154,1750,48404,47053,1376,45677,653667,608518,45149,573856,533845,40011,487612,460129,27483,227072,203747,23325,4584,4033,551,308153,289865,18288,345146,322207,22939
"36083","05000US36083","Rensselaer County, New York","Rensselaer County, New York","ny","050","00","ACSSF","0000054",,,,,"36","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5039,213,4826,4004,115,3889,44867,41999,2868,40561,38469,2092,75890,72026,3864,4797,4142,655,125,121,4,1935,1807,128,3300,3130,170
"36085","05000US36085","Richmond County, New York","Richmond County, New York","ny","050","00","ACSSF","0000055",,,,,"36","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12357,399,11958,11515,295,11220,118517,111528,6989,106180,100725,5455,171144,162218,8926,21150,19547,1603,461,461,0,20387,19420,967,38041,35707,2334
"36087","05000US36087","Rockland County, New York","Rockland County, New York","ny","050","00","ACSSF","0000056",,,,,"36","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9595,401,9194,9097,276,8821,84680,78708,5972,75227,71160,4067,107989,101723,6266,22591,20784,1807,356,329,27,11212,10822,390,29483,27066,2417
"36089","05000US36089","St. Lawrence County, New York","St. Lawrence County, New York","ny","050","00","ACSSF","0000057",,,,,"36","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4440,364,4076,4278,267,4011,24885,22422,2463,23377,21591,1786,46253,42209,4044,464,410,54,323,272,51,541,511,30,539,487,52
"36091","05000US36091","Saratoga County, New York","Saratoga County, New York","ny","050","00","ACSSF","0000058",,,,,"36","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5802,217,5585,5670,139,5531,65025,61855,3170,57664,55198,2466,115151,110147,5004,2180,1933,247,165,165,0,3187,2959,228,3428,3235,193
"36093","05000US36093","Schenectady County, New York","Schenectady County, New York","ny","050","00","ACSSF","0000059",,,,,"36","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4258,217,4041,3925,125,3800,39577,36680,2897,39200,36364,2836,62738,58808,3930,7350,6194,1156,178,162,16,3547,3318,229,4467,3998,469
"36095","05000US36095","Schoharie County, New York","Schoharie County, New York","ny","050","00","ACSSF","0000060",,,,,"36","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112,23,1089,1156,15,1141,7887,7348,539,7466,6850,616,14819,13747,1072,148,119,29,17,17,0,141,124,17,424,356,68
"36097","05000US36097","Schuyler County, New York","Schuyler County, New York","ny","050","00","ACSSF","0000061",,,,,"36","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,28,423,410,22,388,4749,4316,433,4112,3908,204,8675,8055,620,62,52,10,3,1,2,42,42,0,82,77,5
"36099","05000US36099","Seneca County, New York","Seneca County, New York","ny","050","00","ACSSF","0000062",,,,,"36","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,74,613,750,80,670,8425,7868,557,7855,7620,235,15734,14967,767,178,176,2,24,24,0,131,115,16,274,268,6
"36101","05000US36101","Steuben County, New York","Steuben County, New York","ny","050","00","ACSSF","0000063",,,,,"36","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456,165,2291,2413,131,2282,24720,22852,1868,21747,20380,1367,44244,41205,3039,642,588,54,42,42,0,921,875,46,647,520,127
"36103","05000US36103","Suffolk County, New York","Suffolk County, New York","ny","050","00","ACSSF","0000064",,,,,"36","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42069,1441,40628,39054,989,38065,418652,394722,23930,368872,349938,18934,641602,609216,32386,59202,54362,4840,2075,1735,340,28936,27489,1447,143902,135446,8456
"36105","05000US36105","Sullivan County, New York","Sullivan County, New York","ny","050","00","ACSSF","0000065",,,,,"36","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863,75,1788,1809,126,1683,18551,16531,2020,17415,16079,1336,30164,27764,2400,2652,2033,619,88,82,6,686,640,46,5242,4468,774
"36107","05000US36107","Tioga County, New York","Tioga County, New York","ny","050","00","ACSSF","0000066",,,,,"36","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,0,1195,1194,23,1171,12895,11910,985,11704,11102,602,23835,22269,1566,69,69,0,14,14,0,239,239,0,391,317,74
